name,info
Warm Up Complex,"[{'exercise': 'Barbell Front Squat', 'sets': 2, 'reps': [10, 10]}, {'exercise': 'Barbell RDL', 'sets': 2, 'reps': [10, 10]}]"
A Series,"[{'exercise': 'KB/DB Goblet Squat', 'sets': 3, 'reps': [10, 10, 10]}, {'exercise': 'SB Hamstring Curl', 'sets': 3, 'reps': [8, 8, 8]}]"
B Series,"[{'exercise': 'Pushup', 'sets': 3, 'reps': [8, 8, 8]}, {'exercise': 'Barbell Clean High Pull', 'sets': 1, 'reps': [0]}]"
KB Warm Up,"[{'exercise': 'KB Swing', 'sets': 2, 'reps': [10, 10]}]"
Strength Block,"[{'exercise': 'Barbell Back Squat', 'sets': 1, 'reps': [6]}, {'exercise': 'Box Jump', 'sets': 4, 'reps': [2, 2, 2, 2]}, {'exercise': 'Barbell Back Squat', 'sets': 4, 'reps': [3, 3, 3, 3]}]"
Block 2,"[{'exercise': 'DB Bench Press', 'sets': 3, 'reps': [9, 5, 7]}]"
Block 1,"[{'exercise': 'Barbell Back Squat', 'sets': 3, 'reps': [3, 3, 3]}]"
Warm Up,"[{'exercise': 'Foam Roll - Lats', 'sets': 1, 'reps': [0]}, {'exercise': 'Foam Roll - Glutes', 'sets': 1, 'reps': [0]}, {'exercise': 'Foam Roll - Hamstring', 'sets': 1, 'reps': [0]}, {'exercise': 'Foam Roll - Quads', 'sets': 1, 'reps': [0]}, {'exercise': 'Foam Roll - T-Spine', 'sets': 1, 'reps': [10]}, {'exercise': 'Monster Walks - Level 1 - Warmup', 'sets': 1, 'reps': [10]}]"
Optional,"[{'exercise': 'Glute-Ham Raise', 'sets': 2, 'reps': [6, 6]}]"
Block 6,"[{'exercise': 'DB Tricep Kickback', 'sets': 2, 'reps': [8, 8]}]"
Lower Body Pull,"[{'exercise': 'Barbell RDL', 'sets': 3, 'reps': [8, 8, 8]}]"
Lower Body C Series,"[{'exercise': 'SB Hamstring Curl', 'sets': 3, 'reps': [10, 10, 10]}, {'exercise': '1-Arm DB/KB Sky Crunch', 'sets': 2, 'reps': [10, 10]}]"
